S1,S2,S3,S4,S5,S6,S7,S8,Class
1,13,1,1,8,0,8,5,D
-14,-4,-3,2,27,-2,-6,-1,D
-1,-6,-1,-18,-6,7,6,0,D
-3,-5,3,13,24,10,-3,-3,D
-31,-7,-1,-10,-72,-25,-10,-5,D
5,10,-3,1,-6,-6,-15,-5,D
-12,2,2,1,6,-13,-16,-9,D
-9,-4,-12,-39,-41,-18,-12,-3,D
5,-4,-8,-5,-2,6,14,3,D
-3,3,-6,5,6,1,8,6,D
-4,3,2,5,30,2,-22,0,D
11,-4,3,12,40,-5,-17,4,D
-3,-5,4,10,6,7,11,2,D
-17,9,-6,-7,13,-9,-5,-8,D
-10,9,7,-15,3,8,-5,5,D
-6,4,0,2,-5,-5,-11,-3,D
86,-9,2,13,56,7,10,9,D
42,-5,-12,0,32,11,9,5,D
-19,4,-5,-4,-21,-1,11,-3,D
-16,0,3,-9,7,1,-16,-4,D
0,-1,1,3,6,-1,-16,-4,D
-20,-4,-4,-9,-53,-9,-2,-1,D
-1,-3,-4,-37,-15,-15,-28,-2,D
7,-5,-2,5,17,5,8,1,D
5,0,-5,-2,16,-2,0,-1,D
26,-9,-11,-15,-48,-33,-49,-3,D
-21,-3,-2,2,-15,-9,-5,-7,D
-10,-25,-7,10,12,5,-2,1,D
15,9,6,1,-10,9,36,7,D
-8,17,3,6,-1,-4,-2,-1,D
10,24,7,-1,16,7,0,5,D
22,10,11,13,53,8,-9,3,D
-12,-8,-4,2,17,3,-21,-2,D
7,4,13,-7,15,-10,-37,-5,D
51,3,-4,-10,-18,-7,-26,1,D
28,-5,-7,-7,-34,-7,16,0,D
17,-6,0,-3,4,3,4,7,D
-18,3,3,4,21,-3,1,2,D
-11,-1,4,-11,1,-11,-2,-2,D
-27,1,9,-14,-9,-10,-26,-9,D
-29,-2,6,-1,-26,-20,5,-5,D
13,-7,-3,-1,16,-6,-15,-2,D
-15,-9,1,-2,27,15,-9,-1,D
-16,-6,-7,10,31,-6,-21,-2,D
15,-4,0,9,-59,-6,13,3,D
20,14,-2,3,-9,-2,-8,0,D
24,1,-8,17,-21,-6,2,2,D
6,-4,-5,3,18,4,-3,-1,D
-1,4,21,32,4,-12,-39,33,E
-21,-9,1,10,-34,-5,6,-5,E
-3,13,7,7,-11,-11,1,4,E
-23,6,-2,-25,-62,-3,-3,-55,E
30,42,8,-40,77,43,1,-12,E
-7,9,17,25,52,31,5,2,E
11,2,6,19,24,23,-6,13,E
4,27,14,-8,-34,-42,3,4,E
-6,-17,2,4,70,2,11,-7,E
-12,-3,10,-29,-46,23,25,-24,E
34,7,-5,-24,-5,-4,5,6,E
3,5,7,-1,-11,11,-2,-2,E
-4,8,10,53,66,8,11,19,E
10,9,0,-6,-25,10,-8,6,E
-3,7,-1,-13,12,9,13,0,E
-5,12,10,17,-13,41,16,7,E
-11,-16,-32,-25,-112,-52,-14,-12,E
1,17,17,35,25,26,5,11,E
28,-3,-28,-59,21,-29,15,-4,E
-9,-8,-8,32,5,-13,4,4,E
6,2,7,-6,-12,-37,-63,-4,E
-13,9,17,15,6,6,9,-12,E
-5,-1,-1,-20,-31,19,-18,25,E
-20,-1,12,54,46,45,16,-2,E
28,26,28,61,19,12,6,-5,E
4,7,7,26,44,-2,-16,-3,E
7,-6,1,17,64,-9,-12,15,E
-9,-13,5,17,44,19,3,26,E
3,-20,-32,-83,-67,-50,-17,-9,E
59,25,16,5,37,21,37,26,E
-35,11,-14,-88,-71,1,-3,-18,E
-56,-32,-68,-105,-68,-46,-17,-10,E
19,-17,5,-14,-6,-24,-39,0,E
42,-4,-1,-11,-17,6,71,3,E
5,5,13,14,61,44,9,8,E
11,30,18,-6,10,12,20,2,E
-6,-13,-25,-42,-29,-3,14,5,E
-8,0,15,38,64,30,40,1,E
25,-12,-1,25,77,14,-18,-1,E
26,-13,-10,-20,-29,-28,7,-12,E
-21,7,16,27,26,12,-1,16,E
-5,-3,-11,-18,-28,3,-20,0,E
2,16,-17,-35,31,-1,0,18,E
1,6,-10,-23,6,-43,-36,-14,E
-19,-13,13,36,34,22,28,0,E
17,8,-1,6,-12,-8,1,-34,E
17,1,1,-11,-8,-14,-20,8,E
25,0,6,10,20,7,13,22,E
-1,-3,-4,7,4,-17,-53,2,E
-28,-12,5,33,6,4,19,5,E
-5,-17,-13,-48,-31,-32,0,24,E
28,8,-15,-47,-39,-11,-10,-16,E
-51,-19,1,12,2,3,-2,7,E
-33,2,2,17,-31,17,5,-21,E
10,10,19,21,40,25,7,-6,E
58,17,11,65,35,-4,-2,8,E
-39,-14,15,40,10,16,18,15,E
-29,-13,-16,-13,-24,-11,17,-8,E
-24,3,3,7,11,-5,4,-25,E
-8,-12,-27,-56,-43,-18,-19,-20,E
0,16,-4,-12,-46,-7,2,-2,E
13,-10,2,-18,18,9,10,2,E
-30,-28,-30,-39,16,-14,-9,7,E
19,22,17,47,44,12,-19,-9,E
7,0,-8,-3,-15,-9,41,5,E
42,-6,-6,10,11,6,2,16,E
7,5,9,17,21,9,1,-31,E
8,-3,16,48,-28,17,30,33,E
-27,4,27,51,66,24,-10,10,E
38,-1,-11,-13,-47,3,2,3,E
12,8,6,10,46,23,22,8,E
-27,-1,-7,-21,28,-25,0,-6,E
-10,29,-8,-11,-16,-2,-7,-6,E
31,23,10,11,-42,-20,-55,-11,E
13,-6,-1,2,-32,0,34,17,E
10,15,11,33,49,23,18,-48,E
27,-19,4,21,20,14,-12,-29,E
-25,-2,14,30,50,6,-31,7,E
25,-17,3,30,-11,-2,-11,7,E
0,3,3,32,44,4,-11,-9,E
38,18,19,54,26,13,26,11,E
-12,0,15,32,-31,28,-1,10,E
6,-5,2,1,18,11,9,-10,E
23,11,7,18,38,9,0,3,E
-10,-13,-13,-8,55,9,9,-16,E
-8,15,3,42,1,14,14,13,E
-7,13,2,8,95,-1,-25,8,E
11,-11,-11,-25,-97,-17,-17,5,E
-14,-19,3,11,32,-6,-13,-1,E
33,-3,4,15,74,10,1,-8,E
25,15,8,18,39,15,12,9,E
-25,0,4,4,-19,16,-17,-17,E
13,-1,1,-8,9,-4,29,1,E
10,8,-10,-13,-2,-2,7,-4,E
-36,-7,-3,-34,-19,-15,-5,-8,E
-17,-6,2,-3,-32,-1,-4,-8,E
43,4,7,35,23,6,8,-5,E
-40,-22,-5,-14,59,-11,-13,-39,E
-30,-9,-3,23,27,3,8,-8,E
58,-4,6,33,62,13,27,11,E
14,-1,5,20,25,5,2,4,F
0,-5,-14,-23,-6,-4,-9,-8,F
0,-1,5,23,18,10,8,3,F
9,-9,-2,15,16,2,-3,-1,F
6,-9,7,11,-12,7,8,10,F
13,7,4,-6,-5,8,0,5,F
12,-7,-3,-11,25,6,-4,-1,F
3,0,-3,-9,2,8,6,1,F
-5,-9,2,-13,20,3,0,-1,F
3,-13,-12,3,-6,2,1,-4,F
-1,-3,4,-11,-20,-6,7,1,F
15,-7,1,-4,-8,-8,1,-4,F
-41,2,-1,-12,-57,-6,-11,4,F
2,-2,2,18,38,-2,4,2,F
3,-4,-2,-15,-36,2,6,-6,F
-2,5,6,-3,30,9,3,-4,F
-11,6,-14,-18,-103,-20,-6,-13,F
12,2,-7,-36,-77,-33,-6,10,F
-18,-2,0,2,9,-2,8,1,F
2,3,5,14,12,15,-5,3,F
6,-2,2,11,36,10,2,3,F
7,1,0,1,28,7,3,-1,F
3,-11,-7,-1,-9,-2,-4,-4,F
10,9,-6,-11,26,-2,-2,-3,F
0,-3,-2,2,-10,-14,-1,3,F
2,6,-3,-10,-54,-16,2,3,F
14,-2,-4,15,-9,-16,1,11,F
3,0,0,5,13,-20,1,-8,F
11,7,4,-10,-20,3,5,-1,F
-2,-5,-5,1,-23,-9,-7,-9,F
-5,-11,-4,-4,14,-15,-7,-3,F
-13,-16,-5,-8,14,-10,-4,-11,F
-7,2,3,12,42,3,2,-2,F
0,2,0,2,34,5,1,1,F
2,-4,-3,-16,-25,-17,2,26,F
6,2,1,-13,-9,-4,0,6,F
9,0,4,20,17,5,-1,-3,F
5,8,8,13,-6,0,4,2,F
-14,-2,-9,-20,-44,-14,-4,0,F
-7,1,-2,1,-14,-25,1,0,F
-2,2,0,-7,13,-1,4,-1,F
1,-3,-5,-4,25,0,-5,0,F
-10,-10,-1,1,36,5,1,0,F
2,-10,-3,-15,2,6,3,1,F
-14,8,-2,-23,-2,19,3,2,F
-3,2,-2,-10,-22,-17,1,-4,F
-2,-15,-14,-26,-52,-25,-8,0,F
11,4,1,2,39,2,5,7,F
6,2,-3,4,25,6,4,5,F
-6,2,-2,0,-14,-18,-1,0,F
13,0,2,-11,-49,-13,1,3,F
-7,4,2,11,1,10,2,-1,F
6,4,6,5,-12,-2,-6,-1,F
-12,-5,-10,4,34,-1,-9,-4,F
-1,0,0,-1,15,13,1,-5,F
1,3,7,5,8,12,4,3,F
1,-4,11,15,13,-1,-3,-3,F
2,6,1,3,11,-4,-1,1,F
-1,-4,-7,-8,-23,-14,-2,-8,F
-7,-9,-6,-3,12,-7,0,1,F
8,9,-5,-12,-16,1,-1,4,F
-9,-10,-7,-10,38,-1,-3,-1,F
-2,-8,2,14,-4,-4,1,7,F
7,-8,-1,-11,-37,-2,1,0,F
3,7,3,7,15,11,2,-3,F
-5,-8,-1,-7,-19,-1,-6,0,F
1,1,2,20,9,-3,0,0,F
-9,-5,-3,-3,3,-1,-3,-5,F
-1,-4,2,-6,-13,6,2,-4,F
2,-2,-6,-6,10,5,-3,-4,F
13,2,6,6,-6,11,5,3,F
2,0,2,-1,1,0,-3,-1,F
-11,5,1,-12,-23,9,0,-2,F
-2,-4,0,-4,-42,-5,1,-1,F
-1,-3,-2,-10,-10,-4,1,2,F
3,-2,-2,-2,-26,-3,-2,-17,F
0,6,7,7,-22,2,2,4,F
2,-3,-3,-1,-13,-5,1,0,F
0,-5,-1,-2,12,6,-3,0,F
0,6,-2,7,45,13,0,0,F
11,-1,-1,-10,-3,7,1,-1,F
-3,1,3,3,5,10,8,2,F
4,1,-6,-12,-39,-9,-2,-5,F
-7,-4,-11,6,60,-7,-5,-4,F
-2,4,3,3,-10,10,1,2,F
6,11,10,18,13,9,6,4,F
7,-17,-10,-3,4,-11,-7,-2,F
4,3,1,3,0,1,1,1,F
2,-1,0,6,10,8,2,1,F
-6,2,3,5,-5,-3,2,-1,F
-10,-6,-9,-26,-36,3,-4,-7,F
6,7,10,27,7,6,2,1,F
-7,-7,-3,-6,-20,-5,-1,-3,F
6,4,11,40,63,8,8,4,F
11,9,6,8,12,-2,1,-1,F
-11,-6,-6,-8,-26,-1,-27,-6,F
0,4,7,-1,56,13,6,0,F
1,2,5,18,35,8,-1,-1,F
-2,-3,-4,3,-14,-3,2,0,F
2,-7,1,8,32,3,7,13,F
-12,0,4,10,7,-32,-11,-1,G
-9,5,6,21,10,72,-20,2,G
-4,-2,3,18,-2,21,22,1,G
-1,-1,1,7,43,-41,-23,-5,G
-7,0,2,4,-7,-46,-8,-7,G
-5,-3,-2,9,40,-61,-14,-1,G
-6,0,0,-6,-42,34,3,7,G
0,2,6,-25,-27,-62,-30,2,G
0,-5,-1,-3,14,29,10,4,G
4,-10,5,21,11,-14,11,3,G
11,6,8,18,53,19,27,15,G
0,-5,-6,-16,-22,19,-27,4,G
-9,7,2,5,6,6,16,-7,G
2,-1,-1,21,12,-54,-8,2,G
-8,-8,-7,-31,-87,-25,-18,-12,G
0,-2,-1,8,-10,35,-20,2,G
4,1,4,37,50,21,-2,2,G
-4,-2,-1,10,-23,-27,24,-4,G
0,7,7,4,8,-20,-7,1,G
3,11,5,-4,-7,30,-10,3,G
-1,-1,2,3,7,2,3,-3,G
-1,-13,0,6,11,59,-12,0,G
-6,-2,-5,-5,-6,10,14,-4,G
-1,2,2,5,-3,-32,-4,0,G
0,-4,2,11,39,36,-13,-4,G
-5,-4,-9,-10,-16,-14,2,-2,G
8,4,3,-2,27,40,16,10,G
0,-2,-2,-5,-28,-13,18,4,G
0,-6,-6,-7,-46,-16,-6,0,G
-5,-1,4,0,4,16,-20,-16,G
-1,-1,2,12,27,-43,2,4,G
-5,0,-7,-29,-12,21,1,3,G
-1,-2,-6,-14,-22,87,1,1,G
